id_client_sk,id_client_nk,nom_complet,tranche_age,sexe,ville,canal_acquisition,date_debut,date_fin,est_actif,segment_client,region_admin
39,C06074,Sanae Skalli,25-34,f,Béni Mellal,social_media,2026-05-08,9999-12-31,True,Bronze,
40,C04064,Salma Tahiri,45-54,m,Tanger,referral,2026-05-08,9999-12-31,True,Bronze,
41,C02412,Laila Bennani,45-54,m,Agadir,mobile,2026-05-08,9999-12-31,True,Bronze,
42,C05936,Amina Filali,45-54,m,Nador,mobile,2026-05-08,9999-12-31,True,Bronze,
43,C06925,Khadija Fassi Fihri,35-44,f,Meknès,web,2026-05-08,9999-12-31,True,Bronze,
44,C06362,Wafae Filali,25-34,m,Kénitra,marketplace,2026-05-08,9999-12-31,True,Bronze,
45,C03378,Nawal Filali,25-34,f,Casablanca,mobile,2026-05-08,9999-12-31,True,Bronze,
46,C06853,Fatima Bouzid,35-44,f,Béni Mellal,mobile,2026-05-08,9999-12-31,True,Bronze,
47,C00492,Laila Skalli,55-64,m,Tétouan,web,2026-05-08,9999-12-31,True,Bronze,
48,C03512,Ahmed Fassi Fihri,45-54,f,Fès,social_media,2026-05-08,9999-12-31,True,Bronze,
49,C01442,Rachid Rahmouni,25-34,m,Agadir,referral,2026-05-08,9999-12-31,True,Bronze,
50,C07653,Fatima Chraibi,35-44,m,Tanger,social_media,2026-05-08,9999-12-31,True,Bronze,
51,C03310,Laila Cherkaoui,55-64,f,Fès,referral,2026-05-08,9999-12-31,True,Bronze,
52,C04793,Mohamed El Amrani,45-54,f,El Jadida,social_media,2026-05-08,9999-12-31,True,Bronze,
53,C03548,Nabil Bouzid,18-24,f,Marrakech,referral,2026-05-08,9999-12-31,True,Bronze,
54,C04376,Amine Benali,45-54,m,Fès,marketplace,2026-05-08,9999-12-31,True,Bronze,
55,C00793,Khadija Lahlou,55-64,m,Agadir,web,2026-05-08,9999-12-31,True,Bronze,
56,C06087,Ilham Kettani,35-44,f,Fès,web,2026-05-08,9999-12-31,True,Bronze,
57,C05535,Youssef El Idrissi,35-44,m,Béni Mellal,mobile,2026-05-08,9999-12-31,True,Bronze,
58,C07945,Hanane Bouazza,45-54,f,Marrakech,referral,2026-05-08,9999-12-31,True,Bronze,
59,C04222,Amina El Mansouri,25-34,m,Tanger,web,2026-05-08,9999-12-31,True,Bronze,
60,C07717,Hind El Mansouri,55-64,m,Mohammedia,web,2026-05-08,9999-12-31,True,Bronze,
61,C04836,Rim Bennani,35-44,f,El Jadida,web,2026-05-08,9999-12-31,True,Bronze,
62,C04240,Said Tazi,35-44,m,Tanger,mobile,2026-05-08,9999-12-31,True,Bronze,
63,C04795,Said Bennani,45-54,f,Tanger,referral,2026-05-08,9999-12-31,True,Bronze,
64,C02118,Zakaria Kettani,55-64,f,Béni Mellal,web,2026-05-08,9999-12-31,True,Bronze,
65,C04355,Ali El Ouazzani,25-34,f,Rabat,marketplace,2026-05-08,9999-12-31,True,Bronze,
66,C05168,Rachid Sefrioui,18-24,m,Nador,marketplace,2026-05-08,9999-12-31,True,Bronze,
67,C00150,Omar Alaoui,35-44,f,Casablanca,social_media,2026-05-08,9999-12-31,True,Bronze,
68,C05726,Mehdi Bennani,55-64,m,Tanger,social_media,2026-05-08,9999-12-31,True,Bronze,
69,C03790,Khadija Benkirane,25-34,f,Fès,referral,2026-05-08,9999-12-31,True,Bronze,
70,C03804,Brahim Benali,55-64,m,Tanger,social_media,2026-05-08,9999-12-31,True,Bronze,
71,C04433,Rachid Haddad,45-54,f,Agadir,marketplace,2026-05-08,9999-12-31,True,Bronze,
72,C00455,Reda Ouahbi,35-44,m,El Jadida,mobile,2026-05-08,9999-12-31,True,Bronze,
73,C07880,Rim Benkirane,45-54,m,Tanger,referral,2026-05-08,9999-12-31,True,Bronze,
74,C06982,Dounia Bouzid,65+,m,Tanger,referral,2026-05-08,9999-12-31,True,Bronze,
75,C02623,Dounia El Idrissi,35-44,f,Fès,social_media,2026-05-08,9999-12-31,True,Bronze,
76,C06921,Zakaria Bouazza,55-64,m,Casablanca,referral,2026-05-08,9999-12-31,True,Bronze,
77,C01200,Said Amrani,35-44,m,Safi,referral,2026-05-08,9999-12-31,True,Bronze,
78,C04935,Mohamed Tahiri,45-54,m,Tanger,social_media,2026-05-08,9999-12-31,True,Bronze,
79,C06968,Karim Sefrioui,55-64,f,Oujda,social_media,2026-05-08,9999-12-31,True,Bronze,
80,C07527,Rachid Filali,35-44,m,Mohammedia,referral,2026-05-08,9999-12-31,True,Bronze,
81,C01225,Wafae Bouzid,35-44,f,Fès,marketplace,2026-05-08,9999-12-31,True,Bronze,
82,C01823,Amina El Mansouri,55-64,f,Fès,marketplace,2026-05-08,9999-12-31,True,Bronze,
83,C05259,Nabil El Mansouri,25-34,f,Fès,web,2026-05-08,9999-12-31,True,Bronze,
84,C07347,Ilham Chraibi,Non renseigné,f,Casablanca,referral,2026-05-08,9999-12-31,True,Bronze,
85,C02185,Soufiane Bouazza,55-64,f,Oujda,social_media,2026-05-08,9999-12-31,True,Bronze,
86,C03614,Adil Sefrioui,55-64,m,Tétouan,marketplace,2026-05-08,9999-12-31,True,Bronze,
87,C03145,Khalid Amrani,25-34,m,Tanger,mobile,2026-05-08,9999-12-31,True,Bronze,
88,C07067,Ali Kettani,55-64,m,Béni Mellal,web,2026-05-08,9999-12-31,True,Bronze,
89,C01745,Khalid Benkirane,55-64,f,Rabat,mobile,2026-05-08,9999-12-31,True,Bronze,
90,C00382,Nawal Tazi,55-64,m,Fès,marketplace,2026-05-08,9999-12-31,True,Bronze,
91,C02689,Brahim Filali,65+,m,Rabat,marketplace,2026-05-08,9999-12-31,True,Bronze,
92,C01591,Wafae Naciri,45-54,m,Casablanca,mobile,2026-05-08,9999-12-31,True,Bronze,
93,C05223,Youssef Benkirane,35-44,f,Tanger,mobile,2026-05-08,9999-12-31,True,Bronze,
94,C06911,Mohamed Fassi Fihri,55-64,f,Marrakech,web,2026-05-08,9999-12-31,True,Bronze,
95,C04453,Soufiane Benjelloun,55-64,m,Rabat,mobile,2026-05-08,9999-12-31,True,Bronze,
96,C03975,Mustapha El Amrani,25-34,f,Fès,web,2026-05-08,9999-12-31,True,Bronze,
97,C07690,Omar Cherkaoui,55-64,m,Rabat,web,2026-05-08,9999-12-31,True,Bronze,
98,C02251,Brahim Chraibi,25-34,m,Fès,marketplace,2026-05-08,9999-12-31,True,Bronze,
99,C04556,Youssef Naciri,35-44,m,Tanger,mobile,2026-05-08,9999-12-31,True,Bronze,
100,C03410,Salma Haddad,25-34,f,Béni Mellal,mobile,2026-05-08,9999-12-31,True,Bronze,
101,C07671,Nabil Lahlou,55-64,f,Béni Mellal,referral,2026-05-08,9999-12-31,True,Bronze,
102,C01939,Nabil Benkirane,45-54,m,Fès,marketplace,2026-05-08,9999-12-31,True,Bronze,
103,C02562,Imad Tahiri,25-34,f,Meknès,web,2026-05-08,9999-12-31,True,Bronze,
104,C02197,Hind Naciri,55-64,f,Rabat,web,2026-05-08,9999-12-31,True,Bronze,
105,C02083,Nabil Haddad,55-64,m,Béni Mellal,web,2026-05-08,9999-12-31,True,Bronze,
106,C04566,Omar Sefrioui,45-54,m,Tanger,mobile,2026-05-08,9999-12-31,True,Bronze,
107,C07648,Zakaria Tazi,55-64,m,Kénitra,mobile,2026-05-08,9999-12-31,True,Bronze,
108,C01107,Salma Benjelloun,25-34,f,Marrakech,social_media,2026-05-08,9999-12-31,True,Bronze,
109,C02002,Sara Haddad,25-34,f,Meknès,web,2026-05-08,9999-12-31,True,Bronze,
110,C06886,Zakaria Benjelloun,25-34,f,Tétouan,referral,2026-05-08,9999-12-31,True,Bronze,
111,C03608,Ali Rahmouni,25-34,m,Rabat,social_media,2026-05-08,9999-12-31,True,Bronze,
112,C00993,Adil Bouazza,55-64,f,Marrakech,marketplace,2026-05-08,9999-12-31,True,Bronze,
113,C05016,Meryem El Ouazzani,45-54,f,Nador,mobile,2026-05-08,9999-12-31,True,Bronze,
114,C02405,Brahim Amrani,25-34,m,Marrakech,web,2026-05-08,9999-12-31,True,Bronze,
115,C00719,Ghita Ouahbi,25-34,m,Tanger,referral,2026-05-08,9999-12-31,True,Bronze,
116,C01685,Imad Naciri,65+,f,Mohammedia,web,2026-05-08,9999-12-31,True,Bronze,
117,C03220,Zakaria El Idrissi,25-34,m,Rabat,mobile,2026-05-08,9999-12-31,True,Bronze,
118,C01295,Khadija Sefrioui,55-64,m,Marrakech,web,2026-05-08,9999-12-31,True,Bronze,
119,C07721,Nawal Rahmouni,35-44,f,Rabat,web,2026-05-08,9999-12-31,True,Bronze,
120,C06447,Ali Ziani,25-34,m,Nador,referral,2026-05-08,9999-12-31,True,Bronze,
121,C04426,Mustapha Haddad,18-24,m,Rabat,referral,2026-05-08,9999-12-31,True,Bronze,
122,C00737,Brahim Alaoui,65+,f,Tanger,social_media,2026-05-08,9999-12-31,True,Bronze,
123,C00922,Said El Ouazzani,25-34,f,Marrakech,web,2026-05-08,9999-12-31,True,Bronze,
124,C01720,Nabil Alaoui,25-34,m,Fès,mobile,2026-05-08,9999-12-31,True,Bronze,
125,C02148,Soufiane Benjelloun,65+,f,Béni Mellal,social_media,2026-05-08,9999-12-31,True,Bronze,
126,C01931,Youssef El Ouazzani,35-44,m,Rabat,social_media,2026-05-08,9999-12-31,True,Bronze,
127,C01246,Said Filali,25-34,f,Rabat,referral,2026-05-08,9999-12-31,True,Bronze,
128,C02356,Asmae El Mansouri,18-24,m,Oujda,web,2026-05-08,9999-12-31,True,Bronze,
129,C03937,Hamza Rahmouni,35-44,m,Béni Mellal,referral,2026-05-08,9999-12-31,True,Bronze,
130,C04725,Omar Bennani,45-54,m,Fès,web,2026-05-08,9999-12-31,True,Bronze,
131,C04835,Ali Skalli,18-24,m,Meknès,web,2026-05-08,9999-12-31,True,Bronze,
132,C03843,Youssef Tazi,45-54,m,Tétouan,mobile,2026-05-08,9999-12-31,True,Bronze,
133,C01985,Reda Kettani,35-44,f,Safi,web,2026-05-08,9999-12-31,True,Bronze,
134,C00546,Zineb El Ouazzani,25-34,f,Tanger,mobile,2026-05-08,9999-12-31,True,Bronze,
135,C00444,Hassan El Amrani,45-54,m,Tanger,referral,2026-05-08,9999-12-31,True,Bronze,
136,C05044,Hanane Skalli,25-34,m,Oujda,marketplace,2026-05-08,9999-12-31,True,Bronze,
137,C05413,Khadija El Amrani,18-24,f,Tanger,social_media,2026-05-08,9999-12-31,True,Bronze,
138,C06710,Nawal El Mansouri,35-44,m,Tanger,web,2026-05-08,9999-12-31,True,Bronze,
139,C05364,Amina Sefrioui,25-34,f,Marrakech,marketplace,2026-05-08,9999-12-31,True,Bronze,
140,C00796,Mohamed El Mansouri,25-34,m,Fès,mobile,2026-05-08,9999-12-31,True,Bronze,
141,C02336,Houda Chraibi,45-54,m,Tanger,mobile,2026-05-08,9999-12-31,True,Bronze,
142,C00380,Houda El Mansouri,45-54,m,Marrakech,referral,2026-05-08,9999-12-31,True,Bronze,
143,C01414,Fatima Rahmouni,35-44,f,Marrakech,social_media,2026-05-08,9999-12-31,True,Bronze,
144,C00065,Driss Amrani,55-64,f,Marrakech,mobile,2026-05-08,9999-12-31,True,Bronze,
145,C02787,Rim Benkirane,18-24,m,Oujda,marketplace,2026-05-08,9999-12-31,True,Bronze,
146,C00738,Youssef Skalli,35-44,f,Fès,mobile,2026-05-08,9999-12-31,True,Bronze,
147,C00157,Ali Benkirane,45-54,m,Rabat,social_media,2026-05-08,9999-12-31,True,Bronze,
148,C06560,Ilham Fassi Fihri,18-24,m,Tanger,social_media,2026-05-08,9999-12-31,True,Bronze,
149,C05034,Amina Fassi Fihri,45-54,f,Marrakech,mobile,2026-05-08,9999-12-31,True,Bronze,
150,C05283,Hassan Kettani,35-44,m,Tétouan,mobile,2026-05-08,9999-12-31,True,Bronze,
151,C07376,Mohamed Sefrioui,55-64,m,Rabat,social_media,2026-05-08,9999-12-31,True,Bronze,
152,C03722,Hind Filali,35-44,m,El Jadida,referral,2026-05-08,9999-12-31,True,Bronze,
153,C06368,Salma Benali,65+,f,Marrakech,marketplace,2026-05-08,9999-12-31,True,Bronze,
154,C01157,Wafae Ouahbi,25-34,f,Marrakech,social_media,2026-05-08,9999-12-31,True,Bronze,
155,C03819,Hind Kettani,35-44,m,Marrakech,marketplace,2026-05-08,9999-12-31,True,Bronze,
156,C02344,Omar Filali,25-34,m,Oujda,web,2026-05-08,9999-12-31,True,Bronze,
157,C05521,Hamza Haddad,35-44,f,Fès,social_media,2026-05-08,9999-12-31,True,Bronze,
158,C07824,Amine Ouahbi,35-44,m,Tanger,marketplace,2026-05-08,9999-12-31,True,Bronze,
159,C01950,Omar Bouzid,25-34,f,Tanger,web,2026-05-08,9999-12-31,True,Bronze,
160,C03299,Hassan Chraibi,25-34,m,Tanger,referral,2026-05-08,9999-12-31,True,Bronze,
161,C00822,Ali Ziani,55-64,m,El Jadida,mobile,2026-05-08,9999-12-31,True,Bronze,
162,C00343,Soufiane Sefrioui,55-64,m,Rabat,marketplace,2026-05-08,9999-12-31,True,Bronze,
163,C02048,Sanae Amrani,45-54,m,Fès,referral,2026-05-08,9999-12-31,True,Bronze,
164,C04812,Fatima Benjelloun,25-34,f,El Jadida,mobile,2026-05-08,9999-12-31,True,Bronze,
165,C00253,Karim Tazi,55-64,f,Tanger,web,2026-05-08,9999-12-31,True,Bronze,
166,C00127,Laila Berrada,45-54,f,Casablanca,social_media,2026-05-08,9999-12-31,True,Bronze,
167,C06679,Nabil El Mansouri,35-44,f,Casablanca,marketplace,2026-05-08,9999-12-31,True,Bronze,
168,C02938,Karim Sefrioui,55-64,f,Tanger,web,2026-05-08,9999-12-31,True,Bronze,
169,C06257,Meryem Naciri,25-34,m,Tanger,marketplace,2026-05-08,9999-12-31,True,Bronze,
170,C06261,Hassan Filali,45-54,m,Béni Mellal,mobile,2026-05-08,9999-12-31,True,Bronze,
171,C00374,Ahmed El Mansouri,55-64,m,Tanger,mobile,2026-05-08,9999-12-31,True,Bronze,
172,C06929,Zineb Naciri,25-34,m,Tanger,mobile,2026-05-08,9999-12-31,True,Bronze,
173,C04068,Mohamed Benjelloun,25-34,m,Tanger,mobile,2026-05-08,9999-12-31,True,Bronze,
174,C03169,Driss Tahiri,Non renseigné,m,Meknès,web,2026-05-08,9999-12-31,True,Bronze,
175,C05197,Reda Benali,18-24,f,Fès,social_media,2026-05-08,9999-12-31,True,Bronze,
176,C05500,Reda Berrada,45-54,m,Fès,referral,2026-05-08,9999-12-31,True,Bronze,
177,C00451,Omar Filali,65+,f,Casablanca,mobile,2026-05-08,9999-12-31,True,Bronze,
178,C01031,Nadia Tahiri,25-34,m,Rabat,mobile,2026-05-08,9999-12-31,True,Bronze,
179,C06805,Laila Haddad,35-44,f,Agadir,marketplace,2026-05-08,9999-12-31,True,Bronze,
180,C03624,Rim Ziani,18-24,m,Marrakech,mobile,2026-05-08,9999-12-31,True,Bronze,
181,C02030,Samira Filali,45-54,f,Tétouan,social_media,2026-05-08,9999-12-31,True,Bronze,
182,C06607,Dounia Fassi Fihri,35-44,m,Tanger,mobile,2026-05-08,9999-12-31,True,Bronze,
183,C04368,Brahim Benali,55-64,f,Safi,referral,2026-05-08,9999-12-31,True,Bronze,
184,C03734,Dounia El Mansouri,45-54,f,Agadir,mobile,2026-05-08,9999-12-31,True,Bronze,
185,C07413,Said Alaoui,55-64,f,Oujda,marketplace,2026-05-08,9999-12-31,True,Bronze,
186,C01349,Driss Benjelloun,25-34,m,Tanger,social_media,2026-05-08,9999-12-31,True,Bronze,
187,C04703,Said Chraibi,18-24,f,Casablanca,web,2026-05-08,9999-12-31,True,Bronze,
188,C06563,Hassan Alaoui,35-44,f,Mohammedia,social_media,2026-05-08,9999-12-31,True,Bronze,
189,C04148,Khalid Rahmouni,45-54,f,Casablanca,web,2026-05-08,9999-12-31,True,Bronze,
190,C01429,Driss Benali,18-24,m,Marrakech,marketplace,2026-05-08,9999-12-31,True,Bronze,
191,C05099,Meryem Chraibi,18-24,m,Casablanca,web,2026-05-08,9999-12-31,True,Bronze,
192,C05871,Fatima Berrada,35-44,m,Kénitra,referral,2026-05-08,9999-12-31,True,Bronze,
193,C07890,Hassan El Idrissi,45-54,m,Marrakech,social_media,2026-05-08,9999-12-31,True,Bronze,
194,C04766,Ilham Bennani,45-54,m,Rabat,social_media,2026-05-08,9999-12-31,True,Bronze,
195,C04245,Meryem Ouahbi,25-34,f,Tanger,web,2026-05-08,9999-12-31,True,Bronze,
196,C04814,Rim Tazi,25-34,m,Casablanca,marketplace,2026-05-08,9999-12-31,True,Bronze,
197,C03406,Loubna Naciri,18-24,m,Rabat,web,2026-05-08,9999-12-31,True,Bronze,
198,C00224,Mohamed Rahmouni,25-34,m,Fès,marketplace,2026-05-08,9999-12-31,True,Bronze,
199,C02886,Wafae Alaoui,Non renseigné,m,Oujda,marketplace,2026-05-08,9999-12-31,True,Bronze,
200,C02899,Mustapha Cherkaoui,55-64,m,Fès,referral,2026-05-08,9999-12-31,True,Bronze,
201,C03263,Ghita Alaoui,25-34,m,Meknès,marketplace,2026-05-08,9999-12-31,True,Bronze,
202,C07201,Hamza El Amrani,18-24,m,Tanger,referral,2026-05-08,9999-12-31,True,Bronze,
203,C06571,Nawal El Idrissi,45-54,f,Marrakech,referral,2026-05-08,9999-12-31,True,Bronze,
204,C00495,Hamza Berrada,35-44,f,Tanger,social_media,2026-05-08,9999-12-31,True,Bronze,
205,C02849,Amine Benkirane,35-44,m,Tétouan,web,2026-05-08,9999-12-31,True,Bronze,
206,C01311,Karim Kettani,45-54,f,Tanger,marketplace,2026-05-08,9999-12-31,True,Bronze,
207,C02135,Ahmed Benali,18-24,m,Casablanca,marketplace,2026-05-08,9999-12-31,True,Bronze,
208,C00220,Khalid Lahlou,25-34,m,Kénitra,referral,2026-05-08,9999-12-31,True,Bronze,
209,C05860,Adil El Ouazzani,25-34,f,Meknès,marketplace,2026-05-08,9999-12-31,True,Bronze,
210,C04760,Loubna Berrada,45-54,m,Rabat,referral,2026-05-08,9999-12-31,True,Bronze,
211,C03671,Omar Fassi Fihri,55-64,m,Safi,mobile,2026-05-08,9999-12-31,True,Bronze,
212,C01782,Sara El Idrissi,45-54,f,Mohammedia,marketplace,2026-05-08,9999-12-31,True,Bronze,
213,C03647,Mohamed Sefrioui,25-34,m,Meknès,social_media,2026-05-08,9999-12-31,True,Bronze,
214,C07082,Khadija Bouazza,25-34,m,Casablanca,social_media,2026-05-08,9999-12-31,True,Bronze,
215,C07585,Driss Tazi,18-24,m,Casablanca,web,2026-05-08,9999-12-31,True,Bronze,
216,C06049,Salma El Idrissi,35-44,m,Tétouan,social_media,2026-05-08,9999-12-31,True,Bronze,
217,C03457,Houda Naciri,55-64,m,Casablanca,web,2026-05-08,9999-12-31,True,Bronze,
218,C01088,Ahmed Bouazza,35-44,f,Kénitra,referral,2026-05-08,9999-12-31,True,Bronze,
219,C07626,Meryem Alaoui,45-54,m,Meknès,mobile,2026-05-08,9999-12-31,True,Bronze,
220,C01004,Wafae Bouazza,45-54,m,Agadir,marketplace,2026-05-08,9999-12-31,True,Bronze,
221,C01473,Khalid Tahiri,25-34,m,Agadir,social_media,2026-05-08,9999-12-31,True,Bronze,
222,C00881,Wafae Bouzid,25-34,m,Casablanca,marketplace,2026-05-08,9999-12-31,True,Bronze,
223,C06835,Reda Berrada,55-64,f,Béni Mellal,referral,2026-05-08,9999-12-31,True,Bronze,
224,C06937,Youssef Bouazza,35-44,f,Rabat,web,2026-05-08,9999-12-31,True,Bronze,
225,C04316,Reda Tazi,25-34,f,Casablanca,referral,2026-05-08,9999-12-31,True,Bronze,
226,C04979,Zineb Alaoui,55-64,m,Tétouan,referral,2026-05-08,9999-12-31,True,Bronze,
227,C01449,Youssef Cherkaoui,25-34,m,Tanger,web,2026-05-08,9999-12-31,True,Bronze,
228,C07703,Soufiane Ouahbi,Non renseigné,f,Tanger,social_media,2026-05-08,9999-12-31,True,Bronze,
229,C06016,Khalid Fassi Fihri,35-44,m,Fès,referral,2026-05-08,9999-12-31,True,Bronze,
230,C05679,Hamza Bennani,55-64,m,Casablanca,marketplace,2026-05-08,9999-12-31,True,Bronze,
231,C02958,Sara Alaoui,35-44,m,Tétouan,mobile,2026-05-08,9999-12-31,True,Bronze,
232,C07259,Hassan Skalli,45-54,f,Mohammedia,web,2026-05-08,9999-12-31,True,Bronze,
233,C06173,Hanane Chraibi,45-54,m,El Jadida,marketplace,2026-05-08,9999-12-31,True,Bronze,
234,C05620,Mustapha Ouahbi,45-54,m,Rabat,web,2026-05-08,9999-12-31,True,Bronze,
235,C02920,Khalid Lahlou,18-24,m,Casablanca,web,2026-05-08,9999-12-31,True,Bronze,
236,C02017,Omar Haddad,Non renseigné,m,Casablanca,social_media,2026-05-08,9999-12-31,True,Bronze,
237,C03448,Zakaria El Idrissi,25-34,f,Mohammedia,mobile,2026-05-08,9999-12-31,True,Bronze,
238,C04878,Omar Sefrioui,25-34,m,Marrakech,social_media,2026-05-08,9999-12-31,True,Bronze,
239,C01218,Said Kettani,45-54,m,Mohammedia,referral,2026-05-08,9999-12-31,True,Bronze,
240,C01091,Adil Alaoui,55-64,m,Fès,referral,2026-05-08,9999-12-31,True,Bronze,
241,C05100,Youssef Benjelloun,25-34,f,Tanger,mobile,2026-05-08,9999-12-31,True,Bronze,
242,C07829,Hassan Benali,25-34,m,Fès,mobile,2026-05-08,9999-12-31,True,Bronze,
243,C06203,Zakaria Haddad,25-34,f,Fès,marketplace,2026-05-08,9999-12-31,True,Bronze,
244,C03093,Laila Alaoui,18-24,f,Tanger,social_media,2026-05-08,9999-12-31,True,Bronze,
245,C02062,Hassan Chraibi,35-44,m,Safi,social_media,2026-05-08,9999-12-31,True,Bronze,
246,C01424,Youssef Sefrioui,55-64,m,Nador,mobile,2026-05-08,9999-12-31,True,Bronze,
247,C05609,Ilham Benjelloun,35-44,m,Tanger,referral,2026-05-08,9999-12-31,True,Bronze,
248,C03720,Hind El Amrani,45-54,m,Safi,web,2026-05-08,9999-12-31,True,Bronze,
249,C06940,Hamza Bennani,55-64,m,Rabat,social_media,2026-05-08,9999-12-31,True,Bronze,
250,C04718,Driss Filali,25-34,f,Kénitra,web,2026-05-08,9999-12-31,True,Bronze,
251,C05948,Nawal El Mansouri,35-44,m,Rabat,referral,2026-05-08,9999-12-31,True,Bronze,
252,C05592,Hanane Bennani,55-64,f,Agadir,mobile,2026-05-08,9999-12-31,True,Bronze,
253,C01333,Zineb Naciri,45-54,m,Tanger,web,2026-05-08,9999-12-31,True,Bronze,
254,C04393,Wafae Bouzid,25-34,m,Fès,social_media,2026-05-08,9999-12-31,True,Bronze,
255,C01750,Ghita El Ouazzani,25-34,m,Agadir,social_media,2026-05-08,9999-12-31,True,Bronze,
256,C05003,Hamza Benjelloun,45-54,m,Meknès,social_media,2026-05-08,9999-12-31,True,Bronze,
257,C05638,Rachid Berrada,18-24,m,Marrakech,web,2026-05-08,9999-12-31,True,Bronze,
258,C07661,Reda El Ouazzani,25-34,m,Tanger,referral,2026-05-08,9999-12-31,True,Bronze,
259,C07175,Khadija Kettani,25-34,m,Tanger,referral,2026-05-08,9999-12-31,True,Bronze,
260,C04946,Karim Fassi Fihri,25-34,m,Fès,marketplace,2026-05-08,9999-12-31,True,Bronze,
261,C01921,Hamza El Idrissi,45-54,f,El Jadida,social_media,2026-05-08,9999-12-31,True,Bronze,
262,C00463,Ahmed Bouazza,45-54,f,Tétouan,mobile,2026-05-08,9999-12-31,True,Bronze,
263,C02282,Said El Mansouri,45-54,f,Safi,social_media,2026-05-08,9999-12-31,True,Bronze,
