id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
C00079,El Idrissi,Zakaria,zakaria.elidrissi114@outlook.com,1979-01-08,Femme,tanger,0611031743,2024-10-02,mobile
C00080,Filali,Mehdi,zineb.tahiri594@live.fr,1994-12-08,1,Agadir,0699663907,2025-09-27,marketplace
C00081,Chraibi,Youssef,youssef.chraibi944@outlook.com,2005-11-14,m,Béni Mellal,0612799319,2023-02-13,marketplace
C00082,El Ouazzani,Driss,driss.elouazzani448@gmail.com,1965-07-28,Femme,Tnja,0639738898,2023-12-11,marketplace
C00083,Sefrioui,Meryem,meryem.sefrioui523@live.fr,2001-03-08,f,Safi,0636477373,2021-03-09,mobile
C00084,Tazi,Ghita,ghita.tazi476@outlook.com,1996-11-21,1,Mohammedia,0694183695,2025-06-28,marketplace
C00085,Kettani,Ahmed,ahmed.kettani816@yahoo.fr,1989-08-02,female,TNG,0648530827,2021-06-27,web
C00086,Haddad,Meryem,meryem.haddad394@live.fr,1962-08-26,h,MARRAKECH,0653154591,2025-11-07,referral
C00087,Bennani,Omar,omar.bennani831@gmail.com,2001-03-02,female,rbt,0668978194,2022-12-15,referral
C00088,Lahlou,Hamza,hamza.lahlou397@yahoo.fr,2000-11-11,Femme,casa,0684888554,2021-06-04,social_media
C00089,Haddad,Soufiane,soufiane.haddad84@yahoo.fr,2001-12-22,1,Safi,0621370793,2024-03-20,marketplace
C00090,Rahmouni,Ghita,ghita.rahmouni687@hotmail.com,1965-11-22,Femme,Casablanca,0612446861,2024-09-12,marketplace
C00091,Skalli,Mehdi,mehdi.skalli232@hotmail.com,1966-09-25,female,Meknès,0615066382,2025-12-17,marketplace
C00092,Berrada,Ilham,ilham.berrada158@outlook.com,1970-12-15,h,mkch,0641880763,2021-07-12,social_media
C00093,Amrani,Rim,rim.amrani317@hotmail.com,1983-11-19,H,Fès,0647818761,2024-08-25,social_media
C00094,Fassi Fihri,Adil,adil.fassifihri142@live.fr,1995-02-23,0,tanger,0621257528,2025-02-10,mobile
C00095,Berrada,Zakaria,zakaria.berrada970@gmail.com,1961-07-02,male,Fès,0641645597,2024-09-12,social_media
C00096,Amrani,Nawal,nawal.amrani954@yahoo.fr,1968-01-10,m,Nador,0628628439,2024-12-27,social_media
C00097,Tazi,Mohamed,mohamed.tazi221@yahoo.fr,1987-02-25,m,RABAT,0626354208,2023-04-10,web
C00098,Rahmouni,Imad,imad.rahmouni65@outlook.com,2000-09-19,h,casa,0649093864,2022-12-05,social_media
C00099,Amrani,Ali,ali.amrani192@outlook.com,1993-09-17,h,Safi,0662405812,2025-09-01,social_media
C00100,Lahlou,Khalid,khalid.lahlou366@gmail.com,1966-10-24,Homme,RABAT,0657284777,2023-03-02,referral
C00101,Fassi Fihri,Imad,imad.fassifihri647@outlook.com,1989-01-10,female,rbt,0636772387,2022-01-26,web
C00102,Sefrioui,Hassan,hassan.sefrioui485@live.fr,1963-11-11,male,Oujda,0659394697,2023-02-26,social_media
C00103,Bouzid,Rim,rim.bouzid509@hotmail.com,1965-12-14,Femme,MARRAKECH,0634220459,2021-07-20,referral
C00104,Tazi,Amine,amine.tazi314@yahoo.fr,1982-08-02,Femme,Agadir,0646850196,2023-10-14,web
C00105,Bouzid,Imad,imad.bouzid821@live.fr,1998-11-26,Femme,Tanger,0619023909,2024-01-05,mobile
C00106,Lahlou,Nawal,nawal.lahlou34@live.fr,1964-10-05,male,Safi,0652196099,2025-06-13,marketplace
C00107,Alaoui,Amine,amine.alaoui531@outlook.com,2005-08-07,1,Tétouan,0675927774,2025-05-23,mobile
C00108,El Ouazzani,Ahmed,ahmed.elouazzani90@outlook.com,2005-02-18,1,Nador,0631139996,2025-05-10,mobile
C00109,Amrani,Loubna,loubna.amrani812@hotmail.com,1996-06-15,f,Tanger,0621571646,2025-03-20,web
C00110,Sefrioui,Mustapha,mustapha.sefrioui844@outlook.com,1988-08-22,male,Nador,0683994695,2025-06-05,referral
C00111,Chraibi,Omar,omar.chraibi852@gmail.com,2005-04-12,H,Agadir,0620584397,2025-05-28,marketplace
C00112,Benjelloun,Reda,reda.benjelloun630@yahoo.fr,1997-03-06,1,Agadir,0655314533,2025-12-20,referral
C00113,Tazi,Mohamed,mohamed.tazi272@live.fr,1961-08-21,m,Béni Mellal,0650546385,2025-05-21,social_media
C00114,Bouzid,Soufiane,soufiane.bouzid75@outlook.com,1973-06-20,Homme,Béni Mellal,0652857920,2022-06-28,marketplace
C00115,Filali,Amina,amina.filali576@live.fr,1975-03-04,Femme,Marrakech,0692594562,2021-05-13,social_media
C00116,Benali,Hamza,hamza.benali739@live.fr,1989-08-10,Femme,tanger,0662780072,2024-01-03,referral
C00117,Cherkaoui,Karim,karim.cherkaoui50@yahoo.fr,2003-08-10,h,Fès,0624428014,2025-01-28,social_media
C00118,Tahiri,Rachid,rachid.tahiri375@outlook.com,1995-05-03,Femme,TANGER,0683800569,2024-09-15,marketplace
C00119,El Amrani,Ilham,ilham.elamrani132@gmail.com,1995-06-25,h,MARRAKECH,0678333267,2022-04-20,social_media
C00120,Bennani,Youssef,youssef.bennani824@yahoo.fr,1968-06-20,1,casa,0692745294,2023-03-13,marketplace
C00121,Benali,Loubna,loubna.benali502@live.fr,2025-11-04,H,fes,0694457912,2024-10-10,web
C00122,Bouazza,Laila,laila.bouazza234@live.fr,2006-10-25,h,Agadir,0642507072,2024-03-27,web
C00123,Cherkaoui,Salma,salma.cherkaoui322@outlook.com,1999-08-28,m,Oujda,0679616482,2021-12-05,mobile
C00124,Kettani,Dounia,dounia.kettani322@outlook.com,1982-11-25,H,TANGER,0635805259,2023-10-16,mobile
C00125,Amrani,Hassan,hassan.amrani722@yahoo.fr,1995-12-09,Homme,Nador,0682905845,2023-02-19,social_media
C00126,Benali,Hind,hind.benali298@hotmail.com,1988-11-09,Femme,Rabat,0682286705,2024-04-07,marketplace
C00127,Berrada,Laila,laila.berrada759@live.fr,1974-11-08,f,Casablanca,0654331259,2021-02-14,social_media
C00128,Alaoui,Omar,omar.alaoui417@hotmail.com,1972-05-11,H,tanger,0622007214,2023-11-02,referral
C00129,Fassi Fihri,Youssef,youssef.fassifihri957@hotmail.com,1971-12-28,male,El Jadida,0650049524,2023-01-01,referral
C00130,El Mansouri,Samira,samira.elmansouri537@live.fr,1977-04-26,female,FES,0671594457,2021-06-06,marketplace
C00131,Tahiri,Fatima,fatima.tahiri582@yahoo.fr,1985-07-17,Femme,casa,0699826000,2023-02-13,web
C00132,Kettani,Omar,omar.kettani7@hotmail.com,1981-05-19,Femme,mkch,0697735896,2025-01-09,marketplace
C00133,El Amrani,Khadija,khadija.elamrani315@outlook.com,1979-12-04,f,Fès,0639641883,2023-06-20,mobile
C00134,Berrada,Hanane,hanane.berrada383@live.fr,2002-04-25,female,tanger,0689968863,2022-11-25,web
C00135,Naciri,Zakaria,zakaria.naciri940@gmail.com,1972-10-18,Femme,TANGER,0679839059,2022-03-11,social_media
C00136,Naciri,Mehdi,mehdi.naciri94@outlook.com,1992-07-15,h,Casablanca,0672059365,2025-01-18,marketplace
C00137,Benjelloun,Hind,hind.benjelloun593@hotmail.com,1963-02-16,m,rbt,0634156684,2021-05-14,mobile
C00138,Chraibi,Ghita,ghita.chraibi460@outlook.com,2002-09-05,Femme,El Jadida,0682109613,2023-02-06,social_media
C00139,Benali,Karim,karim.benali306@gmail.com,1974-04-15,m,Béni Mellal,0635297417,2023-03-09,web
C00140,Chraibi,Soufiane,soufiane.chraibi247@gmail.com,2003-12-28,h,Casablanca,0615937353,2021-04-24,social_media
C00141,Cherkaoui,Reda,reda.cherkaoui516@hotmail.com,1996-10-25,m,RABAT,0629228089,2023-04-10,referral
C00142,Benjelloun,Hassan,hassan.benjelloun972@live.fr,1987-09-16,m,Agadir,0661157708,2021-06-21,referral
C00143,Chraibi,Adil,adil.chraibi386@yahoo.fr,1979-12-05,1,Kénitra,0665388634,2024-01-18,social_media
C00144,Bouzid,Amina,amina.bouzid209@yahoo.fr,1965-09-24,0,Mohammedia,0660622628,2022-01-09,referral
C00145,Cherkaoui,Meryem,meryem.cherkaoui223@live.fr,1960-04-07,h,Nador,0674279671,2021-12-25,mobile
C00146,Bouzid,Nadia,nadia.bouzid330@live.fr,1979-05-12,0,TANGER,0623234972,2025-08-15,social_media
C00147,Cherkaoui,Samira,samira.cherkaoui424@yahoo.fr,1976-09-19,Femme,RABAT,0649620038,2025-12-14,mobile
C00148,Bouzid,Karim,karim.bouzid512@hotmail.com,1991-12-21,h,Nador,0657268285,2024-08-06,mobile
C00149,Kettani,Reda,reda.kettani658@live.fr,2002-01-25,1,fes,0694651342,2021-07-05,mobile
C00150,Alaoui,Omar,omar.alaoui467@live.fr,1990-11-16,0,Casablanca,0684040345,2021-01-18,social_media
C00151,Tahiri,Zakaria,zakaria.tahiri@@live.fr,1966-09-05,Homme,Agadir,0680659726,2022-04-20,marketplace
C00152,Rahmouni,Laila,laila.rahmouni383@gmail.com,1974-05-22,male,Kénitra,0697227356,2021-11-28,web
C00153,Bouzid,Khalid,khalid.bouzid58@outlook.com,1987-11-26,H,Rabat,0622799248,2023-10-28,referral
C00154,Cherkaoui,Sara,sara.cherkaoui278@outlook.com,1996-11-02,h,Tétouan,0637804291,2022-06-01,referral
C00155,Tazi,Khalid,khalid.tazi578@hotmail.com,1994-06-13,Homme,El Jadida,0620526386,2022-12-24,referral
C00156,Bennani,Nawal,nawal.bennani238@outlook.com,1998-07-25,f,mkch,0646685332,2023-01-21,social_media
C00157,Benkirane,Ali,ali.benkirane191@outlook.com,1978-04-23,male,Rabat,0630699187,2021-02-09,social_media
C00158,Berrada,Ghita,sara.cherkaoui278@outlook.com,1977-02-05,male,Mohammedia,0670242778,2021-03-14,referral
C00159,El Idrissi,Asmae,asmae.elidrissi363@gmail.com,1984-01-10,m,MARRAKECH,0621368176,2024-07-25,referral
C00160,Ziani,Sara,sara.ziani702@hotmail.com,1969-02-06,H,Meknès,0650232066,2024-05-14,social_media
C00161,Benjelloun,Nawal,nawal.benjelloun609@outlook.com,1985-06-27,0,Fès,0654230340,2025-07-26,social_media
C00162,Haddad,Imad,imad.haddad329@yahoo.fr,1985-06-10,1,tanger,0642537638,2024-10-26,marketplace
C00163,Lahlou,Khalid,khalid.lahlou205@live.fr,1961-12-15,f,Casablanca,0649101812,2022-08-26,web
C00164,El Amrani,Asmae,asmae.elamrani649@hotmail.com,1984-02-15,female,Fès,0663795149,2025-08-19,referral
C00165,Benkirane,Adil,adil.benkirane719@yahoo.fr,1966-04-22,m,CASA,0692232236,2023-03-21,web
C00166,El Amrani,Ghita,ghita.elamrani989@yahoo.fr,1992-12-17,male,Marrakech,0687206788,2025-10-23,mobile
C00167,El Ouazzani,Khalid,khalid.lahlou205@live.fr,1965-02-27,h,Meknès,0656045630,2022-06-10,social_media
C00168,Kettani,Loubna,loubna.kettani100@outlook.com,1962-12-04,Femme,Nador,0624678410,2021-06-21,mobile
C00169,Sefrioui,Sara,sara.sefrioui164@live.fr,1985-11-06,1,Mohammedia,0668000104,2022-11-22,social_media
C00170,Cherkaoui,Driss,driss.cherkaoui440@live.fr,2005-02-19,female,Oujda,0659095909,2021-09-06,marketplace
C00171,Benjelloun,Amine,amine.benjelloun990@live.fr,1967-06-12,female,casa,0649922369,2024-10-06,referral
C00172,Berrada,Dounia,dounia.berrada245@gmail.com,1984-07-20,Femme,rbt,0666779304,2022-10-13,mobile
C00173,Naciri,Reda,reda.naciri171@live.fr,1999-01-28,1,Nador,0628325379,2023-01-16,mobile
C00174,Sefrioui,Sanae,sanae.sefrioui702@outlook.com,1965-10-01,female,Mohammedia,0646890134,2022-05-02,mobile
C00175,Filali,Hamza,hamza.filali761@live.fr,1967-05-25,female,TNG,0615584869,2025-06-18,social_media
C00176,El Idrissi,Adil,adil.elidrissi896@yahoo.fr,1965-08-28,0,Safi,0688909809,2021-04-07,marketplace
C00177,Bouazza,Ilham,ilham.bouazza631@hotmail.com,1996-06-18,male,Oujda,0632599227,2023-10-18,marketplace
C00178,El Mansouri,Zineb,zineb.elmansouri976@yahoo.fr,1968-07-02,h,Casablanca,0627809465,2023-11-05,mobile
C00179,Benali,Said,said.benali502@outlook.com,1988-02-21,0,CASA,0647342819,2021-07-17,marketplace
C00180,Skalli,Mustapha,mustapha.skalli890@gmail.com,2000-11-23,h,RABAT,0681729237,2023-02-26,social_media
C00181,Benali,Adil,adil.benali275@outlook.com,1996-08-26,0,TANGER,0616497381,2023-11-25,web
C00182,Alaoui,Nabil,nabil.alaoui452@hotmail.com,2004-03-21,f,Béni Mellal,0646778269,2023-03-28,web
C00183,Tazi,Laila,laila.tazi54@hotmail.com,1987-11-03,Femme,rbt,0673995913,2021-01-07,web
C00184,Sefrioui,Karim,karim.sefrioui9@gmail.com,1968-08-03,female,FES,0623747542,2022-07-03,web
C00185,Berrada,Hassan,hassan.berrada657@hotmail.com,1999-11-06,male,TNG,0638595818,2024-06-24,mobile
C00186,El Amrani,Ilham,ilham.elamrani89@hotmail.com,1984-06-14,female,Marrakech,0647173969,2023-03-08,web
C00187,Haddad,Driss,imad.haddad329@yahoo.fr,1993-10-17,h,Fès,0649666982,2022-12-13,web
C00188,Kettani,Sara,sara.kettani247@gmail.com,1960-06-11,male,TNG,0686286724,2022-07-28,social_media
C00189,Fassi Fihri,Soufiane,ghita.bennani205@hotmail.com,1985-09-10,female,Casablanca,0663992760,2025-07-14,web
C00190,Haddad,Sanae,sanae.haddad86@yahoo.fr,1969-09-11,1,Oujda,0697219985,2024-10-21,web
C00191,Tahiri,Adil,adil.tahiri251@gmail.com,1963-05-22,0,Mohammedia,0628416255,2022-02-01,web
C00192,Sefrioui,Ali,ali.sefrioui171@yahoo.fr,1967-01-11,H,FES,0618572753,2024-05-17,marketplace
C00193,Bouazza,Wafae,wafae.bouazza467@outlook.com,1983-03-09,f,FES,0625479814,2021-10-22,mobile
C00194,Bennani,Fatima,fatima.bennani48@hotmail.com,1962-09-26,m,Fès,0643321320,2024-04-11,social_media
C00195,Benjelloun,Samira,samira.benjelloun382@live.fr,1993-01-13,f,Casablanca,0647890586,2021-08-28,marketplace
C00196,El Ouazzani,Reda,reda.elouazzani206@yahoo.fr,1989-06-19,m,RABAT,0683357939,2024-04-24,mobile
C00197,Alaoui,Adil,adil.alaoui355@live.fr,1960-11-13,0,Tanger,0681110496,2023-02-07,mobile
C00198,Berrada,Youssef,youssef.berrada45@gmail.com,1983-08-24,Homme,TNG,0677837366,2021-10-04,mobile
C00199,Tazi,Hind,hind.tazi64@live.fr,1980-07-23,h,Kénitra,0646501299,2023-06-15,mobile
C00200,Berrada,Mehdi,mehdi.berrada160@gmail.com,1994-06-25,h,Nador,0672189327,2022-08-10,marketplace
C00201,Fassi Fihri,Meryem,meryem.fassifihri42@live.fr,1975-06-13,Homme,Fès,0650109721,2025-01-22,marketplace
C00202,Alaoui,Houda,houda.alaoui570@outlook.com,1968-02-01,male,Mohammedia,0636592965,2021-04-05,social_media
C00203,Bouazza,Imad,imad.bouazza601@live.fr,1972-11-15,f,Tanger,0654499873,2022-02-28,web
C00204,Bennani,Nabil,nabil.bennani444@live.fr,1987-03-12,1,Tanger,0647561442,2022-03-09,social_media
C00205,Haddad,Khadija,khadija.haddad252@live.fr,1963-02-09,h,Fès,0636770773,2024-03-14,referral
C00206,Rahmouni,Reda,reda.rahmouni801@outlook.com,1996-09-11,m,MARRAKECH,0613498112,2024-05-06,marketplace
C00207,Rahmouni,Fatima,fatima.rahmouni829@gmail.com,1974-03-04,Homme,mkch,0645772648,2022-11-08,referral
C00208,Filali,Khadija,khadija.filali867@live.fr,1971-03-08,0,fes,0658155056,2025-06-26,referral
C00209,Ziani,Ali,ali.ziani577@hotmail.com,1991-09-10,h,MARRAKECH,0622114140,2022-08-02,web
C00210,Alaoui,Karim,karim.alaoui1@outlook.com,2005-03-26,H,MARRAKECH,0629825571,2023-01-01,referral
C00211,Filali,Amina,amina.filali882@live.fr,1985-10-04,f,rbt,0628314232,2023-05-11,mobile
C00212,Rahmouni,Asmae,asmae.rahmouni179@yahoo.fr,1982-04-22,female,Fès,0651181116,2025-03-13,marketplace
C00213,Naciri,Mohamed,mohamed.naciri872@outlook.com,1980-10-08,h,Casablanca,0628876833,2025-02-16,marketplace
C00214,Lahlou,Sara,sara.lahlou652@hotmail.com,2006-06-15,Femme,rbt,0643492807,2021-05-07,web
C00215,Tahiri,Amine,amine.tahiri396@gmail.com,1991-07-12,m,Agadir,0674355957,2025-07-04,referral
C00216,Amrani,Dounia,ghita.chraibi460@outlook.com,1966-02-11,1,Nador,0620066654,2022-07-06,referral
C00217,Skalli,Meryem,ahmed.elouazzani90@outlook.com,1987-03-02,h,Agadir,0635499255,2021-06-07,social_media
C00218,Benjelloun,Sanae,sanae.benjelloun244@yahoo.fr,1969-01-12,Homme,TANGER,0649533757,2021-07-03,referral
C00219,Alaoui,Amine,amine.alaoui654@hotmail.com,1985-08-16,0,FES,0683031359,2023-02-21,social_media
C00220,Lahlou,Khalid,khalid.lahlou46@outlook.com,1996-01-05,1,Kénitra,0656142898,2021-02-22,referral
C00221,Amrani,Brahim,brahim.amrani861@gmail.com,1990-10-08,H,TANGER,0662989744,2024-05-03,web
C00222,Rahmouni,Zakaria,zakaria.rahmouni151@live.fr,1970-04-26,h,Agadir,0666824417,2022-03-02,web
C00223,Cherkaoui,Asmae,asmae.cherkaoui265@live.fr,1984-09-13,1,MARRAKECH,0647071046,2025-06-28,referral
C00224,Rahmouni,Mohamed,mohamed.rahmouni536@live.fr,1997-10-25,h,Fès,0623554707,2021-02-19,marketplace
C00225,Chraibi,Nawal,nawal.chraibi671@outlook.com,1985-03-20,Homme,Casablanca,0663917932,2025-11-23,web
C00226,Naciri,Said,said.naciri764@gmail.com,1979-05-09,0,Safi,0623182514,2024-12-22,mobile
C00227,Filali,Nabil,nabil.filali747@yahoo.fr,1986-12-16,Femme,Oujda,0617543817,2025-06-27,referral
C00228,El Mansouri,Meryem,meryem.elmansouri139@outlook.com,1972-04-27,H,Tnja,0671263503,2021-04-02,web
C00229,Benjelloun,Nadia,nadia.benjelloun518@outlook.com,1983-08-20,Femme,Casablanca,0673697356,2024-03-28,referral
